ZONE,Cu,Au,Cu_SK,Au_SK
1.0,0.065,0.796,0.06482194,0.79826453
1.0,0.065,0.796,0.06489677,0.79860044
1.0,0.065,0.797,0.06494116,0.79861015
1.0,0.065,0.797,0.06496356,0.80502313
1.0,0.065,0.797,0.06497163,0.80530797
1.0,0.065,0.797,0.06496494,0.80640775
1.0,0.065,0.797,0.06512763,0.80724677
1.0,0.065,0.798,0.06511366,0.80777979
1.0,0.065,0.798,0.06505901,0.80836187
1.0,0.065,0.798,0.06495931,0.80930263
1.0,0.065,0.798,0.06479177,0.80955203
1.0,0.065,0.798,0.06452692,0.80896217
1.0,0.065,0.798,0.06409231,0.80923012
1.0,0.062,0.799,0.06448985,0.81392559
1.0,0.062,0.799,0.06456748,0.83653039
1.0,0.062,0.799,0.06555997,0.96138596
,,,,
1.0,0.109,0.774,0.10764383,1.00256635
1.0,0.109,0.774,0.10811634,0.84565676
1.0,0.109,0.774,0.10840517,0.7973564
1.0,0.109,0.774,0.10858213,0.78250455
1.0,0.109,0.774,0.10868716,0.77969034
1.0,0.109,0.774,0.10874629,0.77833126
1.0,0.109,0.774,0.10877382,0.77789124
1.0,0.109,0.774,0.10868544,0.77777859
1.0,0.109,0.774,0.10866845,0.77773356
1.0,0.109,0.774,0.10880253,0.7777919
1.0,0.109,0.774,0.1087056,0.7780486
1.0,0.109,0.774,0.10856909,0.77906097
1.0,0.109,0.775,0.10831468,0.78135976
1.0,0.109,0.775,0.10773501,0.79025807
1.0,0.109,0.775,0.10692351,0.81908742
1.0,0.109,0.776,0.10586756,0.9104747
,,,,
1.0,0.077,4.993,0.07587036,5.0263113
1.0,0.077,4.994,0.0755786,5.02125771
1.0,0.077,4.994,0.07486925,5.01740737
1.0,0.077,4.994,0.07348291,5.05001294
,,,,
,,,,
1.0,0.052,0.558,0.05195635,0.82810192
1.0,0.052,0.558,0.0521528,0.70613776
1.0,0.052,0.558,0.05232173,0.87379156
1.0,0.052,1.14,0.05255536,0.86282669
1.0,0.052,1.14,0.05291743,1.06109779
1.0,0.123,3.761,0.12247377,3.7054475
1.0,0.123,3.733,0.12236606,3.62519848
1.0,0.123,3.733,0.1222309,3.30144653
1.0,0.123,3.733,0.12216417,2.10409249
1.0,0.123,0.478,0.12211303,2.10465517
1.0,0.123,0.478,0.12212169,0.9097154
1.0,0.123,0.478,0.12209244,0.59658284
1.0,0.123,0.478,0.1220242,0.51481508
1.0,0.123,0.478,0.12191069,0.49344642
1.0,0.123,0.478,0.12174721,0.4885558
1.0,0.123,0.478,0.12141124,0.48830569
1.0,0.123,0.479,0.12080736,0.48875039
1.0,0.123,0.479,0.11978007,0.49035915
1.0,0.123,0.479,0.11822695,0.49652073
1.0,0.123,0.479,0.11508197,0.52603022
1.0,0.106,0.479,0.11965888,0.68517027
,,,,
1.0,0.057,1.763,0.06284868,1.72367417
1.0,0.057,1.764,0.05917383,1.74505751
1.0,0.057,1.765,0.05730361,1.73323125
1.0,0.057,1.765,0.05610663,1.66021427
1.0,0.057,1.765,0.05548016,1.37495349
1.0,0.057,0.98,0.05530665,1.38919775
1.0,0.057,0.981,0.05593171,1.14758096
1.0,0.057,0.981,0.05766608,1.25883029
1.0,0.057,0.981,0.06103998,1.91418477
1.0,0.057,2.8,0.06730902,1.93555758
1.0,0.057,2.801,0.07932047,2.69133582
1.0,0.057,2.801,0.09842482,3.20034623
1.0,0.149,3.756,0.09676689,3.24682463
1.0,0.149,3.757,0.11382153,3.61034459
1.0,0.149,3.757,0.11963422,3.70618755
1.0,0.123,3.758,0.12618677,3.73233862
1.0,0.123,3.759,0.12430389,3.73939004
1.0,0.123,3.759,0.12333458,3.7420872
1.0,0.123,3.76,0.12284804,3.74129868
1.0,0.123,3.76,0.12260323,3.73536558
1.0,0.124,0.481,0.12181024,0.60501148
1.0,0.124,0.481,0.12186405,0.50775209
1.0,0.124,0.481,0.12118388,0.48953077
1.0,0.124,0.481,0.1197808,0.48391329
1.0,0.124,0.481,0.1172708,0.48168086
1.0,0.124,0.481,0.11301155,0.4796783
1.0,0.124,0.481,0.1058215,0.47454263
1.0,0.124,0.481,0.09369182,0.45263128
1.0,0.124,0.481,0.07313328,0.37964993
1.0,0.023,0.273,0.07318643,0.37957436
1.0,0.023,0.273,0.05269801,0.30666582
1.0,0.023,0.273,0.0407967,0.28477345
1.0,0.024,0.273,0.03375477,0.2782671
1.0,0.024,0.273,0.02992452,0.27639557
1.0,0.024,0.273,0.02794908,0.27586581
1.0,0.024,0.273,0.02706522,0.27583592
2.0,0.127,0.892,0.10506715,1.74772889
2.0,0.056,2.863,0.11790314,0.93292575
2.0,0.112,0.966,0.09804753,1.77612844
2.0,0.112,0.966,0.10275003,1.07941569
2.0,0.112,0.966,0.10346903,0.99051981
2.0,0.112,0.967,0.10068307,1.04305924
2.0,0.112,0.967,0.09248238,1.52995515
2.0,0.112,0.968,0.07419278,5.06827099
2.0,0.005,9.377,0.09480457,4.57146784
2.0,0.005,9.386,0.11015523,4.51475754
2.0,0.17,0.844,0.09698099,5.01425865
2.0,0.17,0.844,0.13426692,1.41927253
2.0,0.17,0.844,0.15190115,0.92502371
2.0,0.17,0.844,0.16016926,0.86290302
2.0,0.17,0.844,0.16406452,0.89723698
2.0,0.17,0.845,0.1658883,1.20362379
2.0,0.17,0.845,0.16678307,3.43131503
2.0,0.17,6.028,0.1674835,3.42888727
2.0,0.17,6.031,0.16836399,5.65875164
2.0,0.17,6.035,0.16985211,5.97145284
2.0,0.17,6.036,0.17298188,6.01602528
2.0,0.17,6.036,0.17996719,6.02043403
2.0,0.17,6.038,0.19497042,5.97576434
2.0,0.17,6.041,0.22704253,5.62631057
2.0,0.17,6.045,0.29529105,3.06138268
2.0,0.428,0.079,0.29563609,3.0632498
2.0,0.428,0.08,0.36396553,0.49614942
2.0,0.428,0.08,0.39626167,0.14370727
2.0,0.428,0.08,0.41163241,0.09577165
2.0,0.428,0.08,0.41909525,0.09188706
2.0,0.428,0.08,0.42270355,0.11163945
2.0,0.428,0.08,0.42381502,0.36290188
,,,,
2.0,0.859,6.43,0.83072018,6.18029513
2.0,0.859,6.434,0.84592955,6.40535259
2.0,0.859,6.436,0.85176879,6.43029176
2.0,0.86,6.44,0.85451717,6.43427804
2.0,0.86,6.44,0.8590614,6.43810122
2.0,0.86,6.443,0.85877824,6.43900327
2.0,0.86,6.444,0.85808909,6.44079918
2.0,0.86,6.444,0.8567558,6.44131211
2.0,0.86,6.448,0.85432374,6.43155408
2.0,0.86,6.451,0.84996244,6.37049683
2.0,0.861,6.451,0.84179764,6.01627767
2.0,0.861,6.453,0.82749746,3.98265169
2.0,0.794,1.516,0.82785262,3.98199029
2.0,0.795,1.517,0.8132846,1.94686757
2.0,0.795,1.517,0.80535659,1.59039363
2.0,0.795,1.517,0.80095966,1.52964074
2.0,0.795,1.517,0.79860316,1.52288469
2.0,0.795,1.517,0.79748032,1.54462761
2.0,0.796,1.517,0.79681601,1.66930674
2.0,0.796,1.518,0.79681935,2.3811862
2.0,0.797,3.245,0.79671211,2.38155415
2.0,0.797,3.246,0.79690942,3.08859731
2.0,0.797,3.246,0.79707666,3.18757737
2.0,0.798,3.248,0.7968813,3.05618932
